Time resolution is 1 ps
                   0 | baud_tick = 0| reset = 1| baud_clk = 0 
                 265 | baud_tick = 1| reset = 0| baud_clk = 0 
                 270 | baud_tick = 0| reset = 0| baud_clk = 0 
                 275 | baud_tick = 1| reset = 0| baud_clk = 0 
                 280 | baud_tick = 0| reset = 0| baud_clk = 0 
                 285 | baud_tick = 1| reset = 0| baud_clk = 0 
                 290 | baud_tick = 0| reset = 0| baud_clk = 0 
                 295 | baud_tick = 1| reset = 0| baud_clk = 0 
                 300 | baud_tick = 0| reset = 0| baud_clk = 0 
                 305 | baud_tick = 1| reset = 0| baud_clk = 0 
                 310 | baud_tick = 0| reset = 0| baud_clk = 0 
                 315 | baud_tick = 1| reset = 0| baud_clk = 0 
                 320 | baud_tick = 0| reset = 0| baud_clk = 0 
                 325 | baud_tick = 1| reset = 0| baud_clk = 1 
                 330 | baud_tick = 0| reset = 0| baud_clk = 1 
                 335 | baud_tick = 1| reset = 0| baud_clk = 0 
                 340 | baud_tick = 0| reset = 0| baud_clk = 0 
                 345 | baud_tick = 1| reset = 0| baud_clk = 0 
                 350 | baud_tick = 0| reset = 0| baud_clk = 0 
                 355 | baud_tick = 1| reset = 0| baud_clk = 0 
                 360 | baud_tick = 0| reset = 0| baud_clk = 0 
                 365 | baud_tick = 1| reset = 0| baud_clk = 0 
                 370 | baud_tick = 0| reset = 0| baud_clk = 0 
                 375 | baud_tick = 1| reset = 0| baud_clk = 0 
                 380 | baud_tick = 0| reset = 0| baud_clk = 0 
                 385 | baud_tick = 1| reset = 0| baud_clk = 0 
                 390 | baud_tick = 0| reset = 0| baud_clk = 0 
                 395 | baud_tick = 1| reset = 0| baud_clk = 0 
                 400 | baud_tick = 0| reset = 0| baud_clk = 0 
                 405 | baud_tick = 1| reset = 0| baud_clk = 0 
                 410 | baud_tick = 0| reset = 0| baud_clk = 0 
                 415 | baud_tick = 1| reset = 0| baud_clk = 0 
                 420 | baud_tick = 0| reset = 0| baud_clk = 0 
                 425 | baud_tick = 1| reset = 0| baud_clk = 0 
                 430 | baud_tick = 0| reset = 0| baud_clk = 0 
                 435 | baud_tick = 1| reset = 0| baud_clk = 0 
                 440 | baud_tick = 0| reset = 0| baud_clk = 0 
                 445 | baud_tick = 1| reset = 0| baud_clk = 0 
                 450 | baud_tick = 0| reset = 0| baud_clk = 0 
                 455 | baud_tick = 1| reset = 0| baud_clk = 0 
                 460 | baud_tick = 0| reset = 0| baud_clk = 0 
                 465 | baud_tick = 1| reset = 0| baud_clk = 0 
                 470 | baud_tick = 0| reset = 0| baud_clk = 0 
                 475 | baud_tick = 1| reset = 0| baud_clk = 0 
                 480 | baud_tick = 0| reset = 0| baud_clk = 0 
                 485 | baud_tick = 1| reset = 0| baud_clk = 1 
                 490 | baud_tick = 0| reset = 0| baud_clk = 1 
                 495 | baud_tick = 1| reset = 0| baud_clk = 0 
                 500 | baud_tick = 0| reset = 0| baud_clk = 0 
                 505 | baud_tick = 1| reset = 0| baud_clk = 0 
                 510 | baud_tick = 0| reset = 0| baud_clk = 0 
                 515 | baud_tick = 1| reset = 0| baud_clk = 0 
                 520 | baud_tick = 0| reset = 0| baud_clk = 0 
                 525 | baud_tick = 1| reset = 0| baud_clk = 0 
                 530 | baud_tick = 0| reset = 0| baud_clk = 0 
                 535 | baud_tick = 1| reset = 0| baud_clk = 0 
                 540 | baud_tick = 0| reset = 0| baud_clk = 0 
                 545 | baud_tick = 1| reset = 0| baud_clk = 0 
                 550 | baud_tick = 0| reset = 0| baud_clk = 0 
                 555 | baud_tick = 1| reset = 0| baud_clk = 0 
                 560 | baud_tick = 0| reset = 0| baud_clk = 0 
                 565 | baud_tick = 1| reset = 0| baud_clk = 0 
                 570 | baud_tick = 0| reset = 0| baud_clk = 0 
                 575 | baud_tick = 1| reset = 0| baud_clk = 0 
                 580 | baud_tick = 0| reset = 0| baud_clk = 0 
                 585 | baud_tick = 1| reset = 0| baud_clk = 0 
                 590 | baud_tick = 0| reset = 0| baud_clk = 0 
                 595 | baud_tick = 1| reset = 0| baud_clk = 0 
                 600 | baud_tick = 0| reset = 0| baud_clk = 0 
                 605 | baud_tick = 1| reset = 0| baud_clk = 0 
                 610 | baud_tick = 0| reset = 0| baud_clk = 0 
                 615 | baud_tick = 1| reset = 0| baud_clk = 0 
                 620 | baud_tick = 0| reset = 0| baud_clk = 0 
                 625 | baud_tick = 1| reset = 0| baud_clk = 0 
                 630 | baud_tick = 0| reset = 0| baud_clk = 0 
                 635 | baud_tick = 1| reset = 0| baud_clk = 0 
                 640 | baud_tick = 0| reset = 0| baud_clk = 0 
                 645 | baud_tick = 1| reset = 0| baud_clk = 1 
                 650 | baud_tick = 0| reset = 0| baud_clk = 1 
                 655 | baud_tick = 1| reset = 0| baud_clk = 0 
                 660 | baud_tick = 0| reset = 0| baud_clk = 0 
                 665 | baud_tick = 1| reset = 0| baud_clk = 0 
                 670 | baud_tick = 0| reset = 0| baud_clk = 0 
                 675 | baud_tick = 1| reset = 0| baud_clk = 0 
                 680 | baud_tick = 0| reset = 0| baud_clk = 0 
                 685 | baud_tick = 1| reset = 0| baud_clk = 0 
                 690 | baud_tick = 0| reset = 0| baud_clk = 0 
                 695 | baud_tick = 1| reset = 0| baud_clk = 0 
                 700 | baud_tick = 0| reset = 0| baud_clk = 0 
                 705 | baud_tick = 1| reset = 0| baud_clk = 0 
                 710 | baud_tick = 0| reset = 0| baud_clk = 0 
                 715 | baud_tick = 1| reset = 0| baud_clk = 0 
                 720 | baud_tick = 0| reset = 0| baud_clk = 0 
                 725 | baud_tick = 1| reset = 0| baud_clk = 0 
                 730 | baud_tick = 0| reset = 0| baud_clk = 0 
                 735 | baud_tick = 1| reset = 0| baud_clk = 0 
                 740 | baud_tick = 0| reset = 0| baud_clk = 0 
                 745 | baud_tick = 1| reset = 0| baud_clk = 0 
                 750 | baud_tick = 0| reset = 0| baud_clk = 0 
                 755 | baud_tick = 1| reset = 0| baud_clk = 0 
                 760 | baud_tick = 0| reset = 0| baud_clk = 0 
                 765 | baud_tick = 1| reset = 0| baud_clk = 0 
                 770 | baud_tick = 0| reset = 0| baud_clk = 0 
                 775 | baud_tick = 1| reset = 0| baud_clk = 0 
                 780 | baud_tick = 0| reset = 0| baud_clk = 0 
                 785 | baud_tick = 1| reset = 0| baud_clk = 0 
                 790 | baud_tick = 0| reset = 0| baud_clk = 0 
                 795 | baud_tick = 1| reset = 0| baud_clk = 0 
                 800 | baud_tick = 0| reset = 0| baud_clk = 0 
                 805 | baud_tick = 1| reset = 0| baud_clk = 1 
                 810 | baud_tick = 0| reset = 0| baud_clk = 1 
                 815 | baud_tick = 1| reset = 0| baud_clk = 0 
                 820 | baud_tick = 0| reset = 0| baud_clk = 0 
                 825 | baud_tick = 1| reset = 0| baud_clk = 0 
                 830 | baud_tick = 0| reset = 0| baud_clk = 0 
                 835 | baud_tick = 1| reset = 0| baud_clk = 0 
                 840 | baud_tick = 0| reset = 0| baud_clk = 0 
                 845 | baud_tick = 1| reset = 0| baud_clk = 0 
                 850 | baud_tick = 0| reset = 0| baud_clk = 0 
                 855 | baud_tick = 1| reset = 0| baud_clk = 0 
                 860 | baud_tick = 0| reset = 0| baud_clk = 0 
                 865 | baud_tick = 1| reset = 0| baud_clk = 0 
                 870 | baud_tick = 0| reset = 0| baud_clk = 0 
                 875 | baud_tick = 1| reset = 0| baud_clk = 0 
                 880 | baud_tick = 0| reset = 0| baud_clk = 0 
                 885 | baud_tick = 1| reset = 0| baud_clk = 0 
                 890 | baud_tick = 0| reset = 0| baud_clk = 0 
                 895 | baud_tick = 1| reset = 0| baud_clk = 0 
                 900 | baud_tick = 0| reset = 0| baud_clk = 0 
                 905 | baud_tick = 1| reset = 0| baud_clk = 0 
                 910 | baud_tick = 0| reset = 0| baud_clk = 0 
                 915 | baud_tick = 1| reset = 0| baud_clk = 0 
                 920 | baud_tick = 0| reset = 0| baud_clk = 0 
                 925 | baud_tick = 1| reset = 0| baud_clk = 0 
                 930 | baud_tick = 0| reset = 0| baud_clk = 0 
                 935 | baud_tick = 1| reset = 0| baud_clk = 0 
                 940 | baud_tick = 0| reset = 0| baud_clk = 0 
                 945 | baud_tick = 1| reset = 0| baud_clk = 0 
                 950 | baud_tick = 0| reset = 0| baud_clk = 0 
                 955 | baud_tick = 1| reset = 0| baud_clk = 0 
                 960 | baud_tick = 0| reset = 0| baud_clk = 0 
                 965 | baud_tick = 1| reset = 0| baud_clk = 1 
                 970 | baud_tick = 0| reset = 0| baud_clk = 1 
                 975 | baud_tick = 1| reset = 0| baud_clk = 0 
                 980 | baud_tick = 0| reset = 0| baud_clk = 0 
                 985 | baud_tick = 1| reset = 0| baud_clk = 0 
                 990 | baud_tick = 0| reset = 0| baud_clk = 0 
                 995 | baud_tick = 1| reset = 0| baud_clk = 0 
                1000 | baud_tick = 0| reset = 0| baud_clk = 0 
